No,Sub Bidang,Bidang Induk,Rentang,Status,Deskripsi Analisis,Jml Kata
32,Kesehatan Mental,Pribadi,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami hambatan emosional yang sangat menguras energi, ditandai dengan kecemasan yang meluas dan kelelahan batin yang luar biasa khususnya pada aspek Kesehatan Mental. Kondisinya berada pada titik jenuh tertinggi yang menurunkan motivasi diri, serta membuat siswa kehilangan pandangan positif tentang dirinya.",42
33,Nilai & Moral,Pribadi,0% - 12%,Ringan - Rendah,"Siswa memiliki stabilitas emosi yang sangat baik, rasa percaya diri yang tinggi, serta ketahanan mental yang kuat dalam menghadapi rutinitas harian khususnya pada aspek Nilai & Moral. Kondisi perasaannya sangat positif dan matang, mendukung perkembangan diri yang optimal di sekolah tanpa hambatan berarti.",43
34,Nilai & Moral,Pribadi,13% - 25%,Ringan - Tinggi,"Siswa menunjukkan kondisi emosional yang sehat dan stabil secara umum khususnya pada aspek Nilai & Moral. Terdapat sedikit kecemasan atau keraguan situasional yang wajar, namun siswa tetap mampu mengelola perasaannya dengan baik dan menunjukkan penyesuaian diri yang adaptif dalam kesehariannya.",40
35,Nilai & Moral,Pribadi,26% - 38%,Sedang - Rendah,"Siswa mulai mengalami perubahan suasana hati atau penurunan motivasi diri dalam kadar ringan khususnya pada aspek Nilai & Moral. Kondisi ini sesekali memengaruhi ketenangan pikirannya, di mana siswa mulai merasa kurang yakin terhadap kemampuannya saat menghadapi tantangan di sekolah.",39
36,Nilai & Moral,Pribadi,39% - 50%,Sedang - Tinggi,"Siswa mengalami kondisi tekanan perasaan yang cukup mengganggu kenyamanan batinnya khususnya pada aspek Nilai & Moral. Perasaan tidak aman (insecurity) atau kecemasan mulai tampak lebih sering, sehingga siswa terkadang merasa kurang fokus dan mudah lelah secara mental dalam keseharian.",39
37,Nilai & Moral,Pribadi,51% - 63%,Berat - Rendah,"Siswa menunjukkan beban pikiran yang cukup berat, ditandai dengan emosi yang mudah berubah dan rasa percaya diri yang menurun tajam khususnya pada aspek Nilai & Moral. Keadaan perasaan yang tidak menentu ini mulai memengaruhi produktivitas harian dan menurunkan minat siswa terhadap aktivitas sekolah.",43
38,Nilai & Moral,Pribadi,64% - 75%,Berat - Tinggi,"Siswa mengalami hambatan emosional yang cukup menetap, diwarnai oleh kekhawatiran yang terus-menerus dan kesulitan mengendalikan emosi diri khususnya pada aspek Nilai & Moral. Kondisi ini membuat siswa merasa sangat tertekan, cenderung menutup diri, serta kesulitan untuk berpikir dengan tenang.",39
39,Nilai & Moral,Pribadi,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam kondisi krisis perasaan yang mendalam, ditandai dengan emosi yang sangat tidak stabil dan rasa tidak berdaya yang kuat khususnya pada aspek Nilai & Moral. Tingkat beban pikiran yang dialami sangat tinggi, sehingga mengganggu keseimbangan hariannya secara drastis.",40
40,Nilai & Moral,Pribadi,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami hambatan emosional yang sangat menguras energi, ditandai dengan kecemasan yang meluas dan kelelahan batin yang luar biasa khususnya pada aspek Nilai & Moral. Kondisinya berada pada titik jenuh tertinggi yang menurunkan motivasi diri, serta membuat siswa kehilangan pandangan positif tentang dirinya.",43
41,Beban Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Beban Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
42,Beban Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Beban Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
43,Beban Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Beban Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
44,Beban Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Beban Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
45,Beban Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Beban Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
46,Beban Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Beban Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
47,Beban Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Beban Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
48,Beban Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Beban Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
49,Fasilitas Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Fasilitas Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
50,Fasilitas Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Fasilitas Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
51,Fasilitas Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Fasilitas Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
52,Fasilitas Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Fasilitas Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
53,Fasilitas Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Fasilitas Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
54,Fasilitas Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Fasilitas Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
55,Fasilitas Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Fasilitas Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
56,Fasilitas Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Fasilitas Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
57,Fokus Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Fokus Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
58,Fokus Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Fokus Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
59,Fokus Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Fokus Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
60,Fokus Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Fokus Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
61,Fokus Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Fokus Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
62,Fokus Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Fokus Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
63,Fokus Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Fokus Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
64,Fokus Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Fokus Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
65,Keterampilan Belajar,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Keterampilan Belajar. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
66,Keterampilan Belajar,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Keterampilan Belajar. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
67,Keterampilan Belajar,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Keterampilan Belajar. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
68,Keterampilan Belajar,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Keterampilan Belajar. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
69,Keterampilan Belajar,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Keterampilan Belajar. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
70,Keterampilan Belajar,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Keterampilan Belajar. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
71,Keterampilan Belajar,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Keterampilan Belajar. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
72,Keterampilan Belajar,Belajar,89% - 100%,Sangat Berat - Tinggi,"Siswa mengalami kebuntuan semangat belajar yang sangat ekstrem akibat beban akademik yang dirasa terlalu berat khususnya pada aspek Keterampilan Belajar. Kondisi ini memicu kesulitan besar dalam berpikir, hilangnya minat belajar secara total, serta keengganan menyeluruh terhadap aktivitas sekolah.",38
73,Lingkungan Sekolah,Belajar,0% - 12%,Ringan - Rendah,"Siswa menunjukkan efektivitas belajar yang sangat tinggi, memiliki konsentrasi yang penuh, serta kemandirian yang matang dalam menyelesaikan tuntutan akademik khususnya pada aspek Lingkungan Sekolah. Proses pemahaman dan semangat belajarnya berkembang dengan sangat optimal tanpa kendala yang berarti.",37
74,Lingkungan Sekolah,Belajar,13% - 25%,Ringan - Tinggi,"Siswa memiliki kebiasaan belajar yang teratur khususnya pada aspek Lingkungan Sekolah. Meskipun sesekali muncul rasa bosan atau penurunan fokus yang wajar, siswa secara umum tetap mampu mempertahankan hasil belajarnya dan menunjukkan tanggung jawab yang baik terhadap tugas sekolah.",38
75,Lingkungan Sekolah,Belajar,26% - 38%,Sedang - Rendah,"Siswa mulai menunjukkan kendala dalam mempertahankan konsistensi fokus belajar khususnya pada aspek Lingkungan Sekolah. Terdapat indikasi penurunan semangat atau hambatan ringan dalam mengatur waktu belajar, sehingga siswa terkadang merasa kewalahan menghadapi banyaknya tugas di kelas.",35
76,Lingkungan Sekolah,Belajar,39% - 50%,Sedang - Tinggi,"Kondisi akademis siswa mengalami hambatan yang cukup mengganggu kenyamanan belajarnya khususnya pada aspek Lingkungan Sekolah. Siswa sering kali merasa kesulitan berkonsentrasi, merasa gugup saat menghadapi ujian, serta mulai menunjukkan penurunan hasil belajar akibat cara belajar yang kurang tepat.",38
77,Lingkungan Sekolah,Belajar,51% - 63%,Berat - Rendah,"Siswa menunjukkan penurunan hasil belajar yang terlihat jelas akibat kendala yang menumpuk khususnya pada aspek Lingkungan Sekolah. Kondisi ini diwarnai oleh rasa malas yang terus muncul, kebosanan belajar yang tinggi, serta kesulitan menangkap pelajaran yang membuat siswa merasa tertinggal.",39
78,Lingkungan Sekolah,Belajar,64% - 75%,Berat - Tinggi,"Siswa mengalami kelelahan belajar yang sangat berat, ditandai dengan sikap tidak acuh terhadap tugas-tugas sekolah khususnya pada aspek Lingkungan Sekolah. Hambatan ini telah menurunkan rasa percaya diri akan kemampuan akademiknya, membuat siswa merasa kesulitan untuk mengejar ketertinggalan.",37
79,Lingkungan Sekolah,Belajar,76% - 88%,Sangat Berat - Rendah,"Siswa berada dalam fase krisis semangat belajar yang serius, ditandai dengan keengganan yang sangat kuat terhadap proses pembelajaran khususnya pada aspek Lingkungan Sekolah. Pikirannya diliputi kekhawatiran belajar yang tinggi, sehingga sangat mengurangi keikutsertaannya dalam kegiatan belajar di sekolah.",38
